STATIONS,ANNEE,date,chauffage
27 - EVREUX-HUEST,2012,2012-01-01,751.1
22 - ST BRIEUC,2012,2012-01-01,700.7
82 - MONTAUBAN,2012,2012-01-01,731.3
23 - GUERET-ST LAURENT,2012,2012-01-01,793.1
81 - ALBI,2012,2012-01-01,742.7
24 - BERGERAC,2012,2012-01-01,735.1
06 - NICE,2012,2012-01-01,620.3
80 - AMIENS-GLISY,2012,2012-01-01,746.1
25 - BESANCON,2012,2012-01-01,809.1
80 - ABBEVILLE,2012,2012-01-01,741
26 - MONTELIMAR,2012,2012-01-01,724.9
79 - NIORT,2012,2012-01-01,737.3
53 - LAVAL-ETRONNIER,2012,2012-01-01,723.8
28 - CHARTRES,2012,2012-01-01,746.4
78 - VILLACOUBLAY,2012,2012-01-01,744.2
29 - BREST-GUIPAVAS,2012,2012-01-01,675.5
77 - MELUN,2012,2012-01-01,753.9
06 - CANNES,2012,2012-01-01,654.9
30 - NIMES-COURBESSAC,2012,2012-01-01,678.2
76 - ROUEN-BOOS,2012,2012-01-01,755.8
31 - TOULOUSE-BLAGNAC,2012,2012-01-01,720.6
76 - DIEPPE,2012,2012-01-01,713.7
83 - HYERES,2012,2012-01-01,628
21 - DIJON-LONGVIC,2012,2012-01-01,802.6
84 - AVIGNON,2012,2012-01-01,711
19 - BRIVE,2012,2012-01-01,759
09 - ST GIRONS,2012,2012-01-01,767
10 - TROYES-BARBEREY,2012,2012-01-01,774.9
95 - ROISSY,2012,2012-01-01,733.5
11 - CARCASSONNE,2012,2012-01-01,704.3
91 - ORLY,2012,2012-01-01,737.4
12 - MILLAU,2012,2012-01-01,812.6
89 - AUXERRE-PERRIGNY,2012,2012-01-01,0
13 - AIX EN PROVENCE,2012,2012-01-01,699.4
88 - EPINAL,2012,2012-01-01,823.5
08 - CHARLEVILLE-MEZ,2012,2012-01-01,802.9
32 - AUCH,2012,2012-01-01,728.6
13 - MARSEILLE,2012,2012-01-01,0
14 - CAEN-CARPIQUET,2012,2012-01-01,724.4
86 - POITIERS-BIARD,2012,2012-01-01,747.9
15 - AURILLAC,2012,2012-01-01,834.6
16 - COGNAC,2012,2012-01-01,715.8
85 - LA ROCHE SUR YON,2012,2012-01-01,720.3
17 - LA ROCHELLE AERODROME,2012,2012-01-01,693.8
85 - L ILE D YEU,2012,2012-01-01,660.7
18 - BOURGES,2012,2012-01-01,756.1
07 - LANAS SYN,2012,2012-01-01,724.7
84 - ORANGE,2012,2012-01-01,704.6
87 - LIMOGES-BELLEGARDE,2012,2012-01-01,782.9
33 - BORDEAUX-MERIGNAC,2012,2012-01-01,705.6
75 - PARIS-MONTSOURIS,2012,2012-01-01,708
64 - PAU-UZEIN,2012,2012-01-01,710.5
74 - EVIAN SA,2012,2012-01-01,872.1
45 - AMILLY,2012,2012-01-01,763.2
64 - BIARRITZ-ANGLET,2012,2012-01-01,659
45 - ORLEANS,2012,2012-01-01,754.2
63 - CLERMONT-FD,2012,2012-01-01,778.9
46 - GOURDON,2012,2012-01-01,762
62 - LE-TOUQUET,2012,2012-01-01,727.2
47 - AGEN,2012,2012-01-01,729
48 - MENDE,2012,2012-01-01,851
61 - ALENCON,2012,2012-01-01,743
