date,consommation,prevision_j1,prevision_j,fioul,charbon,gaz,nucleaire,eolien,solaire,hydraulique,pompage,bioenergies
2012-01-01,2471592.0,4901850.0,4841050.0,23649.0,758.0,181778.0,2153346.0,188459.0,6255.0,367472.0,-86821.0,33411.0
2012-01-02,2912815.0,5796450.0,5739050.0,23598.0,378.0,194404.0,2557111.0,147353.0,4267.0,412364.0,-50571.0,31219.0
2012-01-03,3252581.0,6349550.0,6392550.0,24700.0,205.0,193376.0,2794380.0,228569.0,6768.0,484559.0,-48850.0,31888.0
2012-01-04,3265403.0,6455450.0,6430900.0,26208.0,7.0,178234.0,2767347.0,203392.0,8655.0,490193.0,-42190.0,32737.0
2012-01-05,3319555.0,6410150.0,6484500.0,25809.0,16.0,203859.0,2712466.0,249564.0,3207.0,516675.0,-40085.0,32991.0
2012-01-06,3314845.0,6523550.0,6541700.0,25834.0,33400.0,198577.0,2731599.0,128516.0,9441.0,524023.0,-39868.0,33890.0
2012-01-07,3031707.0,6096550.0,5989200.0,23589.0,3124.0,187348.0,2664738.0,151550.0,5574.0,393214.0,-76750.0,34793.0
2012-01-08,2833583.0,5696950.0,5645450.0,23611.0,762.0,186022.0,2620989.0,78467.0,5519.0,376425.0,-83590.0,34492.0
2012-01-09,3227375.0,6532500.0,6385200.0,23753.0,20048.0,313799.0,2779083.0,59605.0,7716.0,455047.0,-38687.0,33600.0
2012-01-10,3290786.0,6608850.0,6558650.0,23679.0,34414.0,321939.0,2796039.0,27035.0,9624.0,447771.0,-35968.0,32709.0
2012-01-11,3316060.0,6704000.0,6589550.0,23494.0,48108.0,307473.0,2805456.0,28556.0,9890.0,446624.0,-33017.0,34173.0
2012-01-12,3430370.0,6736700.0,6792800.0,23594.0,35327.0,299860.0,2821891.0,50213.0,9117.0,495074.0,-23078.0,34123.0
2012-01-13,3413680.0,6785050.0,6787150.0,23880.0,64557.0,315007.0,2810843.0,41436.0,7374.0,441860.0,-27750.0,34054.0
2012-01-14,3254178.0,6458350.0,6451900.0,23627.0,54551.0,245358.0,2798650.0,62016.0,10797.0,385352.0,-40811.0,34609.0
2012-01-15,3264940.0,6470050.0,6477100.0,23723.0,60641.0,205539.0,2849238.0,89096.0,11375.0,344786.0,-50197.0,34195.0
2012-01-16,3668048.0,7348350.0,7276200.0,45598.0,120821.0,312058.0,2895992.0,85042.0,10752.0,421424.0,-17216.0,32743.0
2012-01-17,3776565.0,7454750.0,7543000.0,46721.0,158428.0,355949.0,2902615.0,26385.0,10561.0,474871.0,-18331.0,31226.0
2012-01-18,3770913.0,7488200.0,7490900.0,32346.0,151531.0,347084.0,2892300.0,83940.0,9058.0,458127.0,-15029.0,31774.0
2012-01-19,3505306.0,7031950.0,6916200.0,34377.0,100981.0,314915.0,2797954.0,199795.0,5367.0,384429.0,-31738.0,33610.0
2012-01-20,3346416.0,6641050.0,6567000.0,23655.0,80169.0,268200.0,2786977.0,208311.0,7336.0,401600.0,-28675.0,34936.0
2012-01-21,2958923.0,5825500.0,5790450.0,23504.0,5406.0,184607.0,2766359.0,222525.0,6013.0,348398.0,-52482.0,34974.0
2012-01-22,2765237.0,5435450.0,5413650.0,23550.0,0.0,184760.0,2598462.0,161932.0,7048.0,316648.0,-73278.0,33451.0
2012-01-23,3183694.0,6389250.0,6344150.0,47669.0,25326.0,278232.0,2820475.0,66384.0,7138.0,404585.0,-30856.0,32676.0
2012-01-24,3309320.0,6666650.0,6593450.0,53376.0,76098.0,309327.0,2817059.0,68472.0,8779.0,449801.0,-28644.0,33587.0
2012-01-25,3274679.0,6547550.0,6535250.0,50172.0,54071.0,321191.0,2800178.0,36809.0,7524.0,478081.0,-19159.0,33179.0
2012-01-26,3285358.0,6518850.0,6512400.0,29995.0,31717.0,267739.0,2796016.0,63765.0,5677.0,498284.0,-25158.0,33371.0
2012-01-27,3320659.0,6623550.0,6639700.0,24584.0,30190.0,307521.0,2805954.0,32882.0,8280.0,470735.0,-27512.0,34207.0
2012-01-28,3129473.0,6293400.0,6229400.0,23464.0,30599.0,265640.0,2736916.0,43891.0,7637.0,392474.0,-32914.0,35085.0
